function	opt	time	error	minima	coordinates
ackley	33554432	20.72213476562500034	0.00000000000115152	0.00000000000145706	-0.00000000000061047,-0.00000000000057059,0.00000000000013210,0.00000000000035707,-0.00000000000040927,-0.00000000000013733,0.00000000000033582,-0.00000000000007907,-0.00000000000016551,-0.00000000000038731
rosenbrock	8	0.01735680007934570	0.00000009785471677	0.00000000000058407	0.99999997943602714,0.99999997259562678,0.99999997815231245,0.99999999004971207,1.00000000292091085,0.99999997861394530,0.99999996852580209,0.99999998046078875,0.99999996141596370,0.99999993293055511
rastrigin	8	0.00652492809295654	2.43714094070728660	5.96975392629738977	0.99495861041247202,0.99495862711398486,-0.99495861363842641,-0.99495862422103332,0.00000000071433944,-0.99495862089343967,0.00000000028108019,0.00000000037953529,-0.99495863970008791,-0.00000000098424819
ackley	8	0.01761382484436035	0.00000000001713735	0.00000000002167910	-0.00000000000631099,0.00000000000265023,0.00000000000163135,-0.00000000000772229,-0.00000000000357285,-0.00000000000276597,0.00000000000758225,0.00000000000618563,0.00000000000385159,-0.00000000000731700
rosenbrock	32	0.01796198463439942	0.00000008625557664	0.00000000000029874	0.99999999725199940,1.00000000089471253,1.00000000279327561,0.99999998643289056,0.99999998798148704,0.99999998488305741,1.00000000550541790,0.99999998639785981,0.99999995855803225,0.99999992975704666
rastrigin	32	0.00685260820388794	2.43714094070728660	5.96975392629738977	0.99495861041247202,0.99495862711398486,-0.99495861363842641,-0.99495862422103332,0.00000000071433944,-0.99495862089343967,0.00000000028108019,0.00000000037953529,-0.99495863970008791,-0.00000000098424819
ackley	32	0.01835315132141113	0.00000000001713735	0.00000000002167910	-0.00000000000631099,0.00000000000265023,0.00000000000163135,-0.00000000000772229,-0.00000000000357285,-0.00000000000276597,0.00000000000758225,0.00000000000618563,0.00000000000385159,-0.00000000000731700
rosenbrock	128	0.01848320007324219	0.00000009283512420	0.00000000000025765	0.99999999808223849,0.99999999591377842,0.99999998302268422,0.99999998270447399,0.99999998948254576,0.99999998024738734,0.99999999777033122,0.99999998344648644,0.99999996551790571,0.99999992227077006
rastrigin	128	0.00752640008926392	2.43714103291859940	5.96975318366843410	-0.99495882047107465,0.99495859960538446,0.99495857414446875,0.00000008551125873,0.99495858587999142,0.00000001401283731,0.99495877903804097,-0.00000043796645235,0.00000004392106245,0.99495860271101844
ackley	128	0.02150195121765137	0.00000000000282719	0.00000000000357803	-0.00000000000151044,-0.00000000000079279,-0.00000000000064889,0.00000000000014782,-0.00000000000031318,-0.00000000000014107,0.00000000000172581,-0.00000000000102403,0.00000000000070315,-0.00000000000002530
