OptIndex Step X_0 X_1
40 11 -2.80434 3.12668
40 12 -2.80289 3.13049
40 13 -2.80378 3.1309
40 14 -2.80487 3.13145
41 0 -3.00581 3.21866
41 1 -3.0003 3.10202
41 2 -2.94228 3.19318
41 3 -2.88062 3.1375
41 4 -2.80556 3.1173
41 5 -2.80203 3.12469
41 6 -2.80063 3.12917
41 7 -2.80265 3.13068
41 8 -2.8048 3.13147
41 9 -2.80515 3.13141
41 10 -2.80512 3.13134
41 11 -2.80511 3.13131
41 12 -2.80512 3.13131
41 13 -2.80512 3.13131
41 14 -2.80512 3.13131
42 0 3.01948 2.25015
42 1 3.03933 1.88985
42 2 3.04436 1.95818
42 3 3.04436 1.95818
42 4 3.04436 1.95818
42 5 3.04436 1.95818
42 6 3.04436 1.95818
42 7 3.01407 1.98241
42 8 2.99971 2.00456
42 9 3.0005 1.99948
42 10 3.00051 1.99961
42 11 3.00051 1.99961
42 12 3.00051 1.99961
42 13 3.00051 1.99961
42 14 3.00051 1.99961
43 0 0.494093 -1.93642
43 1 4.34514 -1.58986
43 2 3.63758 -1.71801
43 3 3.5896 -1.76419
43 4 3.56631 -1.78771
43 5 3.56631 -1.78771
43 6 3.56631 -1.78771
43 7 3.56631 -1.78771
43 8 3.56631 -1.78771
43 9 3.56631 -1.78771
43 10 3.56631 -1.78771
43 11 3.56631 -1.78771
43 12 3.56631 -1.78771
43 13 3.56631 -1.78771
43 14 3.56631 -1.78771
44 0 -3.62238 -3.15527
44 1 -3.63832 -3.28683
44 2 -3.64842 -3.31171
44 3 -3.80632 -3.23444
44 4 -3.78097 -3.29578
44 5 -3.78026 -3.28567
44 6 -3.77934 -3.28331
44 7 -3.77929 -3.28319
44 8 -3.77931 -3.28319
44 9 -3.77931 -3.28318
44 10 -3.77931 -3.28319
44 11 -3.77931 -3.28319
44 12 -3.77931 -3.28319
44 13 -3.77931 -3.28319
44 14 -3.77931 -3.28319
45 0 -2.37173 -2.67319
45 1 -3.83451 -2.86841
45 2 -3.85944 -2.88538
45 3 -3.82959 -3.06427
45 4 -3.66828 -3.23392
45 5 -3.76521 -3.33515
45 6 -3.75017 -3.32039
45 7 -3.75235 -3.32238
45 8 -3.75519 -3.32347
45 9 -3.77919 -3.30647
45 10 -3.77965 -3.2886
45 11 -3.78094 -3.28377
45 12 -3.77913 -3.28272
45 13 -3.77936 -3.28307
45 14 -3.77939 -3.28313
46 0 -3.1807 -1.60746
46 1 -2.87096 -2.10206
46 2 -2.79533 -2.59559
46 3 -2.76803 -2.75564
46 4 -2.76803 -2.75564
46 5 -2.76803 -2.75564
46 6 -2.76803 -2.75564
46 7 -2.76803 -2.75564
46 8 -2.76803 -2.75564
46 9 -2.76803 -2.75564
46 10 -2.76803 -2.75564
46 11 -2.76803 -2.75564
46 12 -2.76803 -2.75564
46 13 -2.76803 -2.75564
46 14 -2.76803 -2.75564
47 0 2.7256 2.43235
47 1 2.74228 2.15385
47 2 2.74616 2.10447
47 3 2.76412 2.19349
47 4 2.79603 2.04972
47 5 2.91646 2.0999
47 6 2.94813 2.09779
47 7 2.99131 2.05066
47 8 3.00389 2.01117
47 9 3.00464 1.99988
47 10 3.00464 1.99988
47 11 3.00464 1.99988
47 12 3.00464 1.99988
47 13 3.00464 1.99988
47 14 3.00464 1.99988
48 0 3.54263 -0.277412
48 1 3.51258 -1.87974
48 2 3.51258 -1.87974
48 3 3.51409 -1.83393
48 4 3.51678 -1.86266
48 5 3.56672 -1.89142
48 6 3.58114 -1.83215
48 7 3.57939 -1.84516
48 8 3.58313 -1.84624
48 9 3.58444 -1.84819
48 10 3.58443 -1.84814
48 11 3.58443 -1.84813
48 12 3.58443 -1.84813
48 13 3.58443 -1.84813
48 14 3.58443 -1.84813
49 0 3.49772 -0.597072
49 1 3.48826 -2.0521
49 2 3.48826 -2.0521
49 3 3.51405 -1.86996
49 4 3.52863 -1.91282
49 5 3.58964 -1.90137
49 6 3.59008 -1.86135
49 7 3.5849 -1.84664
49 8 3.58472 -1.84788
49 9 3.58468 -1.84777
49 10 3.58449 -1.84809
49 11 3.58445 -1.84811
49 12 3.58443 -1.84813
49 13 3.58443 -1.84813
49 14 3.58443 -1.84813
50 0 2.75788 0.317033
50 1 3.32465 1.75867
50 2 3.32031 1.83732
50 3 3.30695 1.70745
50 4 3.29278 1.90506
50 5 3.24701 1.67579
50 6 3.22396 1.91788
